Title,Original Price,Sale Price,Category,Product ID,Link,Description,Stock Status
Ninja Luxe Café Manual Espresso Machine Midnight Black ES601BKANZ,1099.990000,659.990000,Coffee Machines;;Gifts For Anniversaries;;Gifts By Graduations;;Sale backup;;Appliances Clearance;;Gifts for House Warmings;;Online only kitchen;;Ninja;;New In;;Online Only New In;;Kitchen Deals;;Kitchen Clearance,1131295,https://www.briscoes.co.nz/product/1131295/ninja-luxe-caf-manual-espresso-machine-midnight-black-es601bkanz/,,
Ibiyaya Evolution Speedy Fold Pet Buggy,679.990000,645.990000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130990,https://www.briscoes.co.nz/product/1130990/ibiyaya-evolution-speedy-fold-pet-buggy/,,
Gentle Giant Pet Wagon Stroller,649.990000,617.490000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;House of Pets Delight,1130968,https://www.briscoes.co.nz/product/1130968/gentle-giant-pet-wagon-stroller/,,
Lockly Smart Safe Box,599.990000,569.990000,Gifts For Anniversaries;;Gifts By Graduations;;Home Security;;Online Only;;Sale backup;;Gifts for Fathers Day;;Gifts for House Warmings;;Bed and Bath;;Bedroom Deals;;Bedroom Clearance;;New In;;Online Only Bedroom;;Online Only New In,1131802,https://www.briscoes.co.nz/product/1131802/lockly-smart-safe-box/,,
Ibiyaya JetPaw 3-in-1 Pet Stroller,579.990000,550.990000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130988,https://www.briscoes.co.nz/product/1130988/ibiyaya-jetpaw-3-in-1-pet-stroller/,,
Ibiyaya Lyte 3-in-1 Detachable Pet Stroller Green,579.990000,550.990000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130998,https://www.briscoes.co.nz/product/1130998/ibiyaya-lyte-3-in-1-detachable-pet-stroller-green/,,
Ibiyaya Lyte 3-in-1 Detachable Pet Stroller Grey,579.990000,550.990000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130997,https://www.briscoes.co.nz/product/1130997/ibiyaya-lyte-3-in-1-detachable-pet-stroller-grey/,,
"Dreamz Pocket Spring Cooling Euro Top Mattress - (N, QN)",862.990000,517.790000,Bed & Bedding Ranges;;Beds & Mattresses;;Living;;Mattresses;;Online Only;;Sale backup;;Bed and Bath;;Bedroom Deals;;O-Week Bed & Bath;;O-Week Furniture & Storage;;Bedroom Clearance;;Online Only Bedroom;;New In;;Online Only New In;;DreamZ,1130457001,https://www.briscoes.co.nz/product/1130457/dreamz-pocket-spring-cooling-euro-top-mattress/,,In Stock
"Memory Foam Dog Bed in Bouclé - (Cream, Medium)",519.990000,493.990000,Living;;Online Only;;Pets;;Sale backup;;Living Clearance;;Online Only Living Room;;New In;;Online Only New In;;House of Pets Delight,1131008001,https://www.briscoes.co.nz/product/1131008/memory-foam-dog-bed-in-boucl/,,In Stock
"Memory Foam Dog Bed in Bouclé - (Cream, Large)",649.990000,617.490000,Living;;Online Only;;Pets;;Sale backup;;Living Clearance;;Online Only Living Room;;New In;;Online Only New In;;House of Pets Delight,1131008002,https://www.briscoes.co.nz/product/1131008/memory-foam-dog-bed-in-boucl/,,In Stock
Russell Hobbs Bladeless Fan and Heater 59cm RHCBLDL3IN1B,499.990000,474.990000,Fans;;Gifts For Anniversaries;;Gifts By Graduations;;Online Only;;Summer;;Sale backup;;Ceiling Fans;;Desk Fans;;Gifts for House Warmings;;Russell Hobbs;;Bed and Bath;;Living Clearance;;Bedroom Deals;;Online Only Living Room;;Bedroom Clearance;;New In;;Online Only Bedroom;;Online Only New In;;Pedestal Fans,1131583,https://www.briscoes.co.nz/product/1131583/russell-hobbs-bladeless-fan-and-heater-59cm-rhcbldl3in1b/,,
"Dreamz 7-Zone Pocket Spring Mattress - (N, DB)",747.990000,448.790000,Bed & Bedding Ranges;;Beds & Mattresses;;Living;;Mattresses;;Online Only;;Sale backup;;Bed and Bath;;Bedroom Deals;;Bedroom Clearance;;Online Only Bedroom;;O-Week Bed & Bath;;O-Week Furniture & Storage;;New In;;Online Only New In;;DreamZ,1130552001,https://www.briscoes.co.nz/product/1130552/dreamz-7-zone-pocket-spring-mattress/,,In Stock
Ibiyaya Cloud 9 Pet Stroller Pattern,469.990000,446.490000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130979,https://www.briscoes.co.nz/product/1130979/ibiyaya-cloud-9-pet-stroller-pattern/,,
Delonghi Dragon 5 Pro Easytronic 2400W Oil Column Heater Wifi,499.990000,424.990000,Gifts For Anniversaries;;Gifts By Graduations;;Winter;;Sale backup;;Appliances Clearance;;Gifts for House Warmings;;De'Longhi;;Oil Heaters;;New In;;Online Only New In;;Bed and Bath;;Living Clearance;;Bedroom Deals;;Bedroom Clearance,1130292,https://www.briscoes.co.nz/product/1130292/delonghi-dragon-5-pro-easytronic-2400w-oil-column-heater-wifi/,,
Ibiyaya TrackPack for Birds,444.990000,422.740000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130986,https://www.briscoes.co.nz/product/1130986/ibiyaya-trackpack-for-birds/,,
Double Decker Pet Bus Silver,444.990000,422.740000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;House of Pets Delight,1130970,https://www.briscoes.co.nz/product/1130970/double-decker-pet-bus-silver/,,
Double Decker Pet Bus Pink,444.990000,422.740000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;House of Pets Delight,1130971,https://www.briscoes.co.nz/product/1130971/double-decker-pet-bus-pink/,,
Ibiyaya Travois Tri-fold Pet Travel System Grey,444.990000,422.740000,Living;;Crates & Play Pens;;Online Only;;Sale backup;;New In;;Online Only New In;;Ibiyaya,1130976,https://www.briscoes.co.nz/product/1130976/ibiyaya-travois-tri-fold-pet-travel-system-grey/,,
Goldair Fitted Wool Electric Blanket Queen GPWEB-Q,649.990000,389.990000,Electric Blankets;;Gifts over $100;;Gifts For Anniversaries;;Gifts Under $100;;Gifts Under $60;;Gifts By Graduations;;Sale;;Winter;;Sale backup;;Appliances Clearance;;Gifts for House Warmings;;Gifts Under $30;;Goldair;;Clearance Electrical;;Bed and Bath;;Bedroom Deals;;Bedroom Clearance;;O-Week Bed & Bath;;Trans-Seasonal;;New In;;Online Only New In,1127150,https://www.briscoes.co.nz/product/1127150/goldair-fitted-wool-electric-blanket-queen-gpweb-q/,,
Delonghi Dragon 5 Pro Easytronic 1500W Oil Column Heater Wifi,449.990000,382.490000,Gifts For Anniversaries;;Gifts By Graduations;;Winter;;Sale backup;;Appliances Clearance;;Gifts for House Warmings;;De'Longhi;;Oil Heaters;;New In;;Online Only New In;;Bed and Bath;;Living Clearance;;Bedroom Deals;;Bedroom Clearance,1130293,https://www.briscoes.co.nz/product/1130293/delonghi-dragon-5-pro-easytronic-1500w-oil-column-heater-wifi/,,
Nutribullet Chill Ice Cream Maker,399.990000,379.990000,Gifts For Anniversaries;;Gifts By Graduations;;Ice Cream Makers;;Online Only;;Sale backup;;Appliances Clearance;;Gifts for House Warmings;;Nutri Bullet;;A Night In;;Baked With Love;;Kitchen Deals;;Table For Two;;Kitchen Clearance;;New In;;Online Only New In,1131907,https://www.briscoes.co.nz/product/1131907/nutribullet-chill-ice-cream-maker/,,
"Dreamz 7-Zone Pocket Spring Mattress - (N, KSG)",632.990000,379.790000,Bed & Bedding Ranges;;Beds & Mattresses;;Living;;Mattresses;;Online Only;;Sale backup;;O-Week Bed & Bath;;O-Week Furniture & Storage;;Bed and Bath;;Bedroom Deals;;Bedroom Clearance;;New In;;Online Only Bedroom;;Online Only New In;;DreamZ,1130468001,https://www.briscoes.co.nz/product/1130468/dreamz-7-zone-pocket-spring-mattress/,,In Stock
